,material
509,Gd1Ba1.75Pr0.25Cu3O7.06
510,Gd1Ba1.7Pr0.3Cu3O7.06
511,Gd1Ba1.85Pr0.15Cu3O7.09
512,Gd1Ba1.8Pr0.2Cu3O7.01
513,Gd1Ba1.95Pr0.05Cu3O7.03
514,Gd1Ba1.9Pr0.1Cu3O7.03
515,Gd1Ba1Sr1Cu3O6.77
516,Gd1Ba1Sr1Cu3O6.93
517,Gd1Ba1Sr1Cu3O6.9371
518,Gd1Ba1Sr1Cu3O6.94
519,Gd1Ba1Sr1Cu3O7
520,Gd1Ba2Cu2.64Fe0.36O6.99
521,Gd1Ba2Cu2.64Fe0.36O7
522,Gd1Ba2Cu2.67Fe0.33O7
523,Gd1Ba2Cu2.73Fe0.27O6.98
524,Gd1Ba2Cu2.73Fe0.27O7
525,Gd1Ba2Cu2.76Fe0.24O7
526,Gd1Ba2Cu2.775Fe0.225O7
527,Gd1Ba2Cu2.7Co0.3O6.9
528,Gd1Ba2Cu2.7Co0.3O7
529,Gd1Ba2Cu2.7Fe0.3O6.9
530,Gd1Ba2Cu2.7Fe0.3O7
531,Gd1Ba2Cu2.7Ga0.3O7
532,Gd1Ba2Cu2.7Ni0.3O7
533,Gd1Ba2Cu2.82Fe0.18O6.91
534,Gd1Ba2Cu2.82Fe0.18O7
535,Gd1Ba2Cu2.85Fe0.15O7
536,Gd1Ba2Cu2.85Zn0.15O7
537,Gd1Ba2Cu2.8Co0.2O7
538,Gd1Ba2Cu2.8Fe0.2O7
539,Gd1Ba2Cu2.8Ni0.2O7
540,Gd1Ba2Cu2.91Fe0.09O6.94
541,Gd1Ba2Cu2.925Fe0.075O7
542,Gd1Ba2Cu2.92Zn0.08O7
543,Gd1Ba2Cu2.94Fe0.06O7
544,Gd1Ba2Cu2.94Zn0.06O7
545,Gd1Ba2Cu2.96Zn0.04O7
546,Gd1Ba2Cu2.97Fe0.03O7
547,Gd1Ba2Cu2.98Zn0.02O7
548,Gd1Ba2Cu2.99Zn0.01O7
549,Gd1Ba2Cu2.9Co0.1O7
550,Gd1Ba2Cu2.9Fe0.1O7
551,Gd1Ba2Cu2.9Ga0.1O7
552,Gd1Ba2Cu2.9Ni0.1O7
553,Gd1Ba2Cu2.9Zn0.1O7
554,Gd1Ba2Cu3H0.12O6.89
555,Gd1Ba2Cu3H0.43O6.89
556,Gd1Ba2Cu3O6.758
557,Gd1Ba2Cu3O6.8
558,Gd1Ba2Cu3O6.89
559,Gd1Ba2Cu3O6.9
560,Gd1Ba2Cu3O6.94
561,Gd1Ba2Cu3O6.95
562,Gd1Ba2Cu3O6.969
563,Gd1Ba2Cu3O6.98
564,Gd1Ba2Cu3O6.99
565,Gd1Ba2Cu3O7
566,Gd1Ba2Cu3O7.08
567,Gd1Ba2Cu3S1O6
568,Gd1Sr2Cu2.7Mo0.3O7
569,Hg0.4Ce0.6Sr2.5Ca0.1Nd0.5Cu2.1O7
570,Hg0.4Ce0.6Sr2.5Ca0.2Nd0.2Cu2.1O7
571,Hg0.4Ce0.6Sr2.5Ca0.4Cu2.1O7
572,Hg0.4Pr1.1Sr2Ca0.5Cu2O6.9
573,Hg0.5Fe0.5Sr2Y0.2Ca0.8Cu2O6.63
574,Hg0.5Fe0.5Sr2Y0.3Ca0.7Cu2O6.65
575,Hg0.5Fe0.5Sr2Y0.4Ca0.6Cu2O6.67
576,Hg0.5Fe0.5Sr2Y0.5Ca0.5Cu2O6.68
577,Hg0.5Fe0.5Sr2Y0.6Ca0.4Cu2O6.7
578,Hg0.5Fe0.5Sr2Y0.7Ca0.3Cu2O6.7
579,Hg0.5Fe0.5Sr2Y0.8Ca0.2Cu2O6.72
580,Hg0.65V0.35Sr2Ca0.55Nd0.45Cu2O6.8
581,Hg1Ba2Ca1Cu2FO6
582,Ho0.43Pr0.57Ba2Cu3O7
583,Ho0.45Pr0.55Ba2Cu3O7
584,Ho0.48Pr0.52Ba2Cu3O7
585,Ho0.55Pr0.45Ba2Cu3O7
586,Ho0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7
587,Ho0.5Pr0.5Ba2Cu3O6.67
588,Ho0.5Pr0.5Ba2Cu3O7
589,Ho0.65Pr0.35Ba2Cu3O7
590,Ho0.6Pr0.4Ba2Cu3O7
591,Ho0.75Pr0.25Ba2Cu3O7
592,Ho0.7Pr0.3Ba2Cu3O7
593,Ho0.85Pr0.15Ba2Cu3O7
594,Ho0.8Pr0.2Ba2Cu3O7
595,Ho0.95Pr0.05Ba2Cu3O7
596,Ho0.9Ca0.1Ba2Cu3O7
597,Ho0.9Pr0.1Ba2Cu3O7
598,Ho1Ba1.5Sr0.5Cu3O7
599,Ho1Ba1Sr1Cu3O6.94
600,Ho1Ba2Cu2.55Ni0.45O7
601,Ho1Ba2Cu2.775Fe0.225O7
602,Ho1Ba2Cu2.775Ni0.225O7
603,Ho1Ba2Cu2.7Fe0.3O7
604,Ho1Ba2Cu2.7Ni0.3O7
605,Ho1Ba2Cu2.85Fe0.15O7
606,Ho1Ba2Cu2.925Fe0.075O7
607,Ho1Ba2Cu2.925Ni0.075O7
608,Ho1Ba2Cu2.94O6.94
609,Ho1Ba2Cu3O6.71
610,Ho1Ba2Cu3O6.87
611,Ho1Ba2Cu3O6.9
612,Ho1Ba2Cu3O6.96
613,Ho1Ba2Cu3O7
614,In0.2Pb0.55Sr2Ca0.5Y0.5Cu2.25O7
615,La0.25Dy0.75Ba1Ca1Cu3O7
616,La0.25Sm0.75Ba1Ca1Cu3O7
617,La0.2Pr0.3Ca0.5Ba2Cu3O7
618,La0.4Pr0.4Ba1Ca1Cu3O7
619,La0.55Ca0.15Pr0.3Ba1.5Sr0.5Cu3O6.851
620,La0.5Ca0.2Pr0.3Ba1.5Sr0.5Cu3O6.829
621,La0.5Dy0.5Ba1Ca1Cu3O7
622,La0.5Pr0.5Ba2Cu3O7
623,La0.5Sm0.5Ba1Ca1Cu3O7
624,La0.65Ca0.05Pr0.3Ba1.5Sr0.5Cu3O6.896
625,La0.65Ca0.15Pr0.2Ba1.5Sr0.5Cu3O6.84
626,La0.6Ca0.1Pr0.3Ba1.5Sr0.5Cu3O6.872
627,La0.6Ca0.2Pr0.2Ba1.5Sr0.5Cu3O6.809
628,La0.6Pr0.4Ba2Cu3O7
629,La0.6Pr0.6Ba1Ca1Cu3O7
630,La0.75Ca0.05Pr0.2Ba1.5Sr0.5Cu3O6.886
631,La0.75Ca0.15Pr0.1Ba1.5Sr0.5Cu3O6.845
632,La0.75Dy0.25Ba1Ca1Cu3O7
633,La0.75Nd0.25Ba1Ca1Cu3O7
634,La0.75Sm0.25Ba1Ca1Cu3O7
635,La0.7Ca0.1Pr0.2Ba1.5Sr0.5Cu3O6.862
636,La0.7Ca0.2Pr0.1Ba1.5Sr0.5Cu3O6.809
637,La0.7Pr0.3Ba2Cu3O7
638,La0.7Pr0.3Ca1Ba1Cu3O7
639,La0.85Ca0.05Pr0.1Ba1.5Sr0.5Cu3O6.865
640,La0.85Ca0.15Ba1.5Sr0.5Cu3O6.819
641,La0.8Ca0.1Pr0.1Ba1.5Sr0.5Cu3O6.856
642,La0.8Ca0.2Ba1.5Sr0.5Cu3O6.794
643,La0.8Pr0.2Ba1.5Sr0.5Cu3O6.906
644,La0.8Pr0.2Ba1Ca1Cu3O7
645,La0.8Pr0.2Ba2Cu3O7
646,La0.95Ca0.05Ba1.5Sr0.5Cu3O6.878
647,La0.9Ba1.5Ca0.6Cu3O6.74
648,La0.9Ca0.1Ba1.5Sr0.5Cu3O6.847
649,La0.9Pr0.1Ba1.5Sr0.5Cu3O6.904
650,La0.9Pr0.1Ba2Cu3O7
651,La1.05Ba1.5Ca0.45Cu3O6.81
652,La1.1Ba1.4Sr0.5Cu3O6.954
653,La1.1Ba1.5Ca0.4Cu3O6.76
654,La1.1Ba1.5Ca0.4Cu3O6.82
655,La1.1Ba1.5Ca0.4Cu3O6.97
656,La1.1Ba1.5Ca0.4Cu3O7.06
657,La1.1Ba1.5Ca0.4Cu3O7.11
658,La1.1Ba1.5Ca0.4Cu3O7.123
659,La1.1Ba1.5Ca0.4Cu3O7.17
660,La1.1Ba1.5Ca0.4Cu3O7.25
661,La1.25Ba1.35Ca0.4Cu3O7.16
662,La1.25Ba1.45Ca0.3Cu3O7.15
663,La1.25Ba1.55Ca0.2Cu3O7.16
664,La1.25Ba1.5Ca0.25Cu3O6.74
665,La1.25Ba1.65Ca0.1Cu3O7.15
666,La1.25Ba1.75Cu3O7.07
667,La1.25Ca0.05Ba1.7Cu3O7.03
668,La1.25Ca0.15Ba1.6Cu3O7.052
669,La1.25Ca0.1Ba1.65Cu3O7.06
670,La1.25Ca0.25Ba1.5Cu3O7.087
671,La1.25Ca0.2Ba1.55Cu3O7.082
672,La1.25Ca0.35Ba1.4Cu3O7.108
673,La1.25Ca0.3Ba1.45Cu3O7.11
674,La1.25Ca0.45Ba1.3Cu3O7.135
675,La1.25Ca0.4Ba1.35Cu3O7.141
676,La1.25Ca0.5Ba1.25Cu3O7.137
677,La1.2Ba1.3Sr0.5Cu3O6.943
678,La1.2Ba1.5Ca0.3Cu3O6.72
679,La1.2Ba1.5Ca0.3Cu3O6.93
680,La1.2Ba1.5Ca0.3Cu3O7.06
681,La1.2Ba1.8Cu3O6.98
682,La1.2Ba1.8Cu3O7.2
683,La1.2Ba1.8Cu3O7.3
684,La1.35Ba1.5Ca0.15Cu3O6.67
685,La1.3Ba1.2Sr0.5Cu3O6.955
686,La1.3Ba1.3Sr0.4Cu3O6.928
687,La1.3Ba1.4Sr0.3Cu3O6.91
688,La1.3Ba1.5Ca0.2Cu3O6.7
689,La1.3Ba1.5Ca0.2Cu3O6.72
690,La1.3Ba1.5Ca0.2Cu3O6.92
691,La1.3Ba1.5Ca0.2Cu3O6.94
692,La1.3Ba1.5Sr0.2Cu3O6.901
693,La1.4Ba1.5Ca0.1Cu3O6.903
694,La1.4Ba1.5Ca0.1Cu3O6.943
695,La1.4Ba1.5Ca0.1Cu3O6.982
696,La1.5Ba1.1Ca0.4Cu3O6.764
697,La1.5Ba1.1Ca0.4Cu3O6.969
698,La1.5Ba1.1Ca0.4Cu3O7.05
699,La1.5Ba1.1Ca0.4Cu3O7.082
700,La1.5Ba1.3Ca0.2Cu3O6.897
701,La1.5Ba1.3Ca0.2Cu3O6.918
702,La1.5Ba1.3Ca0.2Cu3O6.957
703,La1.5Ba1.3Ca0.2Cu3O7.002
704,La1.5Ba1.4Ca0.1Cu3O6.912
705,La1.5Ba1.4Ca0.1Cu3O6.932
706,La1.5Ba1.4Ca0.1Cu3O6.964
707,La1.5Ba1Ca0.5Cu3O6.801
708,La1.5Ba1Ca0.5Cu3O6.981
709,La1.5Ba1Ca0.5Cu3O7.126
710,La1.5Ba1Ca0.5Cu3O7.195
711,La1.5Ba1Sr0.5Cu3O6.955
712,La1.65Ba1.5Ca0.35Cu3O6.79
713,La1Ba0.8Ca1.2Cu3O7.11
714,La1Ba0.9Ca1.1Cu3O7.05
715,La1Ba1.1Ca0.9Cu3O7.02
716,La1Ba1.25Ca0.75Cu3O6.958
717,La1Ba1.25Sr0.75Cu3O6.996
718,La1Ba1.2Ca0.8Cu3O6.95
719,La1Ba1.3Ca0.7Cu3O6.92
720,La1Ba1.4Ca0.6Cu3O6.9
721,La1Ba1.5Ca0.5Cu3O6.79
722,La1Ba1.5Ca0.5Cu3O6.85
723,La1Ba1.5Ca0.5Cu3O6.96
724,La1Ba1.5Ca0.5Cu3O7.011
725,La1Ba1.5Ca0.5Cu3O7.079
726,La1Ba1.5Ca0.5Cu3O7.112
727,La1Ba1.5Ca0.5Cu3O7.16
728,La1Ba1.5Sr0.5Cu3O6.902
729,La1Ba1.5Sr0.5Cu3O6.948
730,La1Ba1.5Sr0.5Cu3O6.967
731,La1Ba1.5Sr0.5Cu3O7
732,La1Ba1.75Ca0.25Cu3O6.951
733,La1Ba1.75Sr0.25Cu3O6.946
734,La1Ba1.87Ca0.13Cu3O6.923
735,La1Ba1Ca1Cu2.6Ni0.4O6.854
736,La1Ba1Ca1Cu2.7Ni0.3O6.848
737,La1Ba1Ca1Cu2.8Ni0.2O6.837
738,La1Ba1Ca1Cu2.9Ni0.1O6.85
739,La1Ba1Ca1Cu2.9P0.1O7.4
740,La1Ba1Ca1Cu3O6.856
741,La1Ba1Ca1Cu3O6.98
742,La1Ba1Ca1Cu3O6.99
743,La1Ba1Ca1Cu3O7
744,La1Ba1Sr1Cu3O6.94
745,La1Ba1Sr1Cu3O7.01
746,La1Ba2Cu2.95Co0.05O6.94
747,La1Ba2Cu2.9O6.8
748,La1Ba2Cu2.9O6.82
749,La1Ba2Cu3O6.85
750,La1Ba2Cu3O6.89
751,La1Ba2Cu3O6.95
752,La1Ba2Cu3O7
753,La1Ca1Ba1Cu2.7Zn0.3O7
754,La1Ca1Ba1Cu2.8Zn0.2O7
755,La1Ca1Ba1Cu2.95Zn0.05O7
756,La1Ca1Ba1Cu2.9Zn0.1O7
757,Lu0.45Pr0.55Ba2Cu3O7
758,Lu0.55Pr0.45Ba1.7Sr0.3Cu3O6.92
759,Lu0.55Pr0.45Ba2Cu3O7
760,Lu0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7
761,Lu0.5Pr0.4Ca0.1Ba2Cu3O7
762,Lu0.5Pr0.5Ba1.7Sr0.3Cu3O6.92
763,Lu0.5Pr0.5Ba2Cu3O6.75
764,Lu0.5Pr0.5Ba2Cu3O7
765,Lu0.65Pr0.35Ba1.7Sr0.3Cu3O6.93
766,Lu0.6Pr0.3Ca0.1Ba2Cu3O7
767,Lu0.6Pr0.4Ba1.7Sr0.3Cu3O6.91
768,Lu0.6Pr0.4Ba2Cu3O7
769,Lu0.75Ce0.15Ca0.1Ba2Cu3O7
770,Lu0.75Pr0.25Ba1.7Sr0.3Cu3O6.9
771,Lu0.7Ca0.3Ba2Cu3O6.62
772,Lu0.7Ca0.3Ba2Cu3O6.78
773,Lu0.7Ca0.3Ba2Cu3O6.88
774,Lu0.7Ce0.15Ca0.15Ba2Cu3O7
775,Lu0.7Pr0.2Ca0.1Ba2Cu3O7
776,Lu0.7Pr0.3Ba1.7Sr0.3Cu3O6.89
777,Lu0.7Pr0.3Ba2Cu3O7
778,Lu0.85Pr0.15Ba1.7Sr0.3Cu3O6.91
779,Lu0.85Pr0.15Ba2Cu3O7
780,Lu0.8Ca0.2Ba2Cu3O6.54
781,Lu0.8Ca0.2Ba2Cu3O6.68
782,Lu0.8Ca0.2Ba2Cu3O6.81
783,Lu0.8Ca0.2Ba2Cu3O6.91
784,Lu0.8Ce0.15Ca0.05Ba2Cu3O7
785,Lu0.8Ce0.1Ca0.1Ba2Cu3O7
786,Lu0.8Pr0.1Ca0.1Ba2Cu3O7
787,Lu0.8Pr0.2Ba1.7Sr0.3Cu3O6.93
788,Lu0.8Pr0.2Ba2Cu3O7
789,Lu0.93Pr0.07Ba2Cu3O7
790,Lu0.9Ce0.05Ca0.05Ba2Cu3O7
791,Lu0.9Ce0.1Ba2Cu3O7
792,Lu0.9Pr0.05Ca0.05Ba2Cu3O7
793,Lu0.9Pr0.1Ba1.7Sr0.3Cu3O6.95
794,Lu0.9Pr0.1Ba2Cu3O7
795,Lu1Ba1.7Sr0.3Cu3O7
796,Lu1Ba1Sr1Cu3O6.94
797,Lu1Ba2Cu3O7
798,Mo0.25Sr2Y1Cu2.75O7
799,Mo1Sr2Y1Cu2O7
800,Nb1Ba2Cu2.92Ga0.08O7
801,Nb1Ba2Cu2.93Ga0.07O7
802,Nb1Ba2Cu2.94Ga0.06O7
803,Nb1Ba2Cu2.95Ga0.05O7
804,Nb1Ba2Cu2.96Ga0.04O7
805,Nb1Ba2Cu2.98Ga0.02O7
806,Nb1Ba2Cu2.9Ga0.1O7
807,Nd0.2Pr0.3Ca0.5Ba2Cu3O7
808,Nd0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7
809,Nd0.65Pr0.35Ba1Ca1Cu3O7
810,Nd0.75Pr0.25Ba1Ca1Cu3O7
811,Nd0.75Pr0.25Ba2Cu3O6.85
812,Nd0.75Pr0.25Ba2Cu3O6.96
813,Nd0.7Pr0.3Ba1.15Sr0.85Cu3O7
814,Nd0.7Pr0.3Ba1.25Sr0.75Cu3O7
815,Nd0.7Pr0.3Ba1Sr1Cu3O6.87
816,Nd0.7Pr0.3Ba1Sr1Cu3O7
817,Nd0.7Pr0.3Ba2Cu3O7
818,Nd0.85La0.15Ba2Cu3O7
819,Nd0.85Pr0.15Ba2Cu3O6.75
820,Nd0.85Pr0.15Ba2Cu3O6.85
821,Nd0.85Pr0.15Ba2Cu3O7
822,Nd0.8Ca0.1Pr0.1Ba2Cu3O7
823,Nd0.8Ca0.1Pr0.1Ba2Cu3O7.02
824,Nd0.8Ca0.2Ba1Sr1Cu3O6.78
825,Nd0.8Pr0.2Ba2Cu3O6.75
826,Nd0.8Pr0.2Ba2Cu3O6.81
827,Nd0.8Pr0.2Ba2Cu3O6.85
828,Nd0.8Pr0.2Ba2Cu3O7
829,Nd0.92Pr0.08Ba2Cu3O7
830,Nd0.94Ca0.06Ba2Cu3O7
831,Nd0.95Ca0.025Pr0.025Ba2Cu3O6.95
832,Nd0.95Ca0.025Pr0.025Ba2Cu3O7
833,Nd0.95La0.05Ba2Cu3O7
834,Nd0.95Pr0.05Ba2Cu3O6.6
835,Nd0.95Pr0.05Ba2Cu3O6.65
836,Nd0.95Pr0.05Ba2Cu3O6.75
837,Nd0.95Pr0.05Ba2Cu3O6.85
838,Nd0.95Pr0.05Ba2Cu3O7
839,Nd0.97Ca0.03Ba2Cu3O7
840,Nd0.97Pr0.03Ba2Cu3O7
841,Nd0.9Ba1.7Ca0.4Cu3O6.801
842,Nd0.9Ba1.7Sr0.4Cu3O6.666
843,Nd0.9Ca0.05Pr0.05Ba2Cu3O6.95
844,Nd0.9Ca0.05Pr0.05Ba2Cu3O7
845,Nd0.9Ca0.1Ba1Sr1Cu3O6.85
846,Nd0.9Ca0.1Ba2Cu3O6.63
847,Nd0.9Ca0.1Ba2Cu3O7
848,Nd0.9La0.1Ba2Cu3O7
849,Nd0.9Pr0.1Ba1Ca1Cu3O7
850,Nd0.9Pr0.1Ba2Cu3O6.65
851,Nd0.9Pr0.1Ba2Cu3O6.75
852,Nd0.9Pr0.1Ba2Cu3O6.85
853,Nd0.9Pr0.1Ba2Cu3O7
854,Nd1.04Ba1.96Cu3O7
855,Nd1.05Ba1.95Cu3O7
856,Nd1.15Ba1.85Cu3O6.96
857,Nd1.15Ba1.85Cu3O7
858,Nd1.1Ba1.5Ca0.4Cu3O6.864
859,Nd1.1Ba1.7Ca0.2Cu3O6.894
860,Nd1.1Ba1.7Sr0.2Cu3O6.858
861,Nd1.1Ba1.9Cu3O6.9
862,Nd1.1Ba1.9Cu3O6.935
863,Nd1.1Ba1.9Cu3O6.96
864,Nd1.1Ba1.9Cu3O7
865,Nd1.1Ba1.9Cu3O7.05
866,Nd1.25Ba1.75Cu3O6.99
867,Nd1.25Ba1.75Cu3O7
868,Nd1.2Ba1.4Ca0.4Cu3O6.888
869,Nd1.2Ba1.4Sr0.4Cu3O6.731
870,Nd1.2Ba1.4Sr0.4Cu3O6.789
871,Nd1.2Ba1.6Ca0.2Cu3O6.929
872,Nd1.2Ba1.6Sr0.2Cu3O6.885
873,Nd1.2Ba1.8Cu3O6.91
874,Nd1.2Ba1.8Cu3O6.954
875,Nd1.2Ba1.8Cu3O6.96
876,Nd1.2Ba1.8Cu3O7
877,Nd1.2Ba1.8Cu3O7.1
878,Nd1.35Ba1.65Cu3O7.02
879,Nd1.3Ba1.3Ca0.4Cu3O6.912
880,Nd1.3Ba1.5Ca0.2Cu3O6.952
881,Nd1.3Ba1.5Sr0.2Cu3O6.917
882,Nd1.3Ba1.7Cu3O6.987
883,Nd1.3Ba1.7Cu3O7
884,Nd1.3Ba1.7Cu3O7.14
885,Nd1.45Ba1.55Cu3O7.08
886,Nd1.4Ba1.6Cu3O7
887,Nd1.4Ba1.6Cu3O7.09
888,Nd1.5Ba1.5Cu3O7.12
889,Nd1.5Ba1.5Cu3O7.14
890,Nd1Ba1.2Sr0.8Cu3O6.97
891,Nd1Ba1.4Sr0.6Cu3O6.94
892,Nd1Ba1.5Sr0.5Cu3O6.91
893,Nd1Ba1.5Sr0.5Cu3O7
894,Nd1Ba1.6Ca0.4Cu3O6.828
895,Nd1Ba1.6Sr0.4Cu3O6.721
896,Nd1Ba1.6Sr0.4Cu3O6.94
897,Nd1Ba1.8Ca0.2Cu3O6.866
898,Nd1Ba1.8Sr0.2Cu3O6.927
899,Nd1Ba1.8Sr0.2Cu3O6.96
900,Nd1Ba1Ca1Cu3O7
901,Nd1Ba1Sr0.2Ca0.8Cu3O7
902,Nd1Ba1Sr0.4Ca0.6Cu3O7
903,Nd1Ba1Sr0.6Ca0.4Cu3O7
904,Nd1Ba1Sr0.85Ca0.15Cu3O7
905,Nd1Ba1Sr0.8Ca0.2Cu3O7
906,Nd1Ba1Sr0.95Ca0.05Cu3O7
907,Nd1Ba1Sr0.9Ca0.1Cu3O7
908,Nd1Ba1Sr1Cu3O6.92
909,Nd1Ba1Sr1Cu3O6.94
910,Nd1Ba1Sr1Cu3O7.02
911,Nd1Ba2Cu2.55Ni0.45O7
912,Nd1Ba2Cu2.775Fe0.225O7
913,Nd1Ba2Cu2.775Ni0.225O7
914,Nd1Ba2Cu2.7Fe0.3O7
915,Nd1Ba2Cu2.7Ni0.3O7
916,Nd1Ba2Cu2.85Fe0.15O7
917,Nd1Ba2Cu2.85Ga0.15O6.62
918,Nd1Ba2Cu2.85Ni0.15O7
919,Nd1Ba2Cu2.91Ga0.09O7
920,Nd1Ba2Cu2.925Fe0.075O7
921,Nd1Ba2Cu2.925Ni0.075O7
922,Nd1Ba2Cu2.92Zn0.08O7
923,Nd1Ba2Cu2.94Zn0.06O7
924,Nd1Ba2Cu2.95Ga0.05O6.59
925,Nd1Ba2Cu2.96Zn0.04O7
926,Nd1Ba2Cu2.97Ga0.03O7
927,Nd1Ba2Cu2.98Zn0.02O7
928,Nd1Ba2Cu2.99Ga0.01O7
929,Nd1Ba2Cu2.99Zn0.01O7
930,Nd1Ba2Cu2.9Ga0.1O6.61
931,Nd1Ba2Cu2.9Zn0.1O7
932,Nd1Ba2Cu3O6.6
933,Nd1Ba2Cu3O6.65
934,Nd1Ba2Cu3O6.67
935,Nd1Ba2Cu3O6.75
936,Nd1Ba2Cu3O6.76
937,Nd1Ba2Cu3O6.78
938,Nd1Ba2Cu3O6.81
939,Nd1Ba2Cu3O6.82
940,Nd1Ba2Cu3O6.84
941,Nd1Ba2Cu3O6.85
942,Nd1Ba2Cu3O6.86
943,Nd1Ba2Cu3O6.93
944,Nd1Ba2Cu3O6.94
945,Nd1Ba2Cu3O6.95
946,Nd1Ba2Cu3O6.98
947,Nd1Ba2Cu3O7
948,Nd1Ba2Cu3O7.04
949,Nd1Ba2Cu3O7.16
950,Nd1Ba2Cu3S1O6
951,Pb0.5Ca1Sr2Y0.5Cu2O6.93
952,Pb0.5Ca1Sr2Y0.5Cu2O6.95
953,Pb0.5Ca1Sr2Y0.5Cu2O6.97
954,Pb0.5Ca1Sr2Y0.5Cu2O7
955,Pb0.5Cd0.5Sr1.5Ba0.5Ca0.5Y0.5Cu2O7
956,Pb0.5Cd0.5Sr1.6Ba0.4Ca0.5Y0.5Cu2O7
957,Pb0.5Cd0.5Sr2Ca0.5Y0.5Cu2O7
958,Pb0.5Cd0.5Sr2Tb0.5Ca0.5Cu2O7
959,Pb0.5Cd0.5Sr2Tb0.6Ca0.4Cu2O7
960,Pb0.5Cd0.5Sr2Y0.5Ca0.5Cu2O7
961,Pb0.5Cu0.5Sr2Y0.5Ca0.5Cu2O7
962,Pb0.5Sr1.8Ba0.2Y0.85Ca0.15Cu2.5O6.98
963,Pb0.5Sr2.5Y0.5Ca0.5Cu2O7
964,Pb0.5Sr2Ca0.5Dy0.5Cu2.5O7
965,Pb0.5Sr2Ca0.5Er0.5Cu2.5O7
966,Pb0.5Sr2Ca0.5Eu0.5Cu2.5O7
967,Pb0.5Sr2Ca0.5Gd0.5Cu2.5O7
968,Pb0.5Sr2Ca0.5Ho0.5Cu2.5O7
969,Pb0.5Sr2Ca0.5Nd0.5Cu2.5O7
970,Pb0.5Sr2Ca0.5Sm0.5Cu2.5O7
971,Pb0.5Sr2Ca0.5Tm0.5Cu2.5O7
972,Pb0.5Sr2Ca0.5Y0.5Cu2.5O7
973,Pb0.5Sr2Ca1Cu2.5O6.8
974,Pb0.5Sr2Y0.6Ca0.4Cu2.5O6.97
975,Pb0.75Sr2Ca0.5Y0.5Cu2.25O7
976,Pb0.7Hg0.3Sr2Nd0.3Ca0.7Cu2O6.6
977,Pb0.7Sr2Ca0.5Y0.5Cu2.3O7
978,Pb2Cu0.9La1.1Cu2O7.42
979,Pb2Sr0.9La1.1Cu2O6.65
980,Pr0.2Ca0.8Ba1La1Cu3O7.1
981,Pr0.4Ca0.6Ba2Cu3O7
982,Pr0.5Ca0.5Ba2Cu3O7
983,Pr0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7
984,Pr0.5Y0.5Ba2Cu3O7
985,Pr0.6Ca0.4Ba2Cu3O7
986,Pr0.85Ca0.15Sr2Cu2.7Mo0.3O7
987,Pr0.85Sr2.15Cu2.7Mo0.3O7
988,Pr0.8Sr2.2Cu2.7Mo0.3O7
989,Pr0.95Ca0.05Sr2Cu2.7Mo0.3O7
990,Pr0.95Sr2.05Cu2.7Mo0.3O7
991,Pr0.9Ca0.1Sr2Cu2.7Mo0.3O7
992,Pr0.9Sr2.1Cu2.7Mo0.3O7
993,Pr1Ba2Cu3O6.6
994,Pr1Ba2Cu3O6.8
995,Pr1Ba2Cu3O7
996,Sm0.2Pr0.3Ca0.5Ba2Cu3O7
997,Sm0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7
998,Sm0.5Eu0.5Ba2Cu3O7
999,Sm0.7Pr0.3Ba2Cu3O6.65
1000,Sm0.7Pr0.3Ba2Cu3O6.75
1001,Sm0.7Pr0.3Ba2Cu3O6.8
1002,Sm0.7Pr0.3Ba2Cu3O6.85
1003,Sm0.7Pr0.3Ba2Cu3O6.95
1004,Sm0.8Ca0.2Ba2Cu2.8Zn0.2O6.87
1005,Sm0.8Pr0.2Ba2Cu3O6.65
1006,Sm0.8Pr0.2Ba2Cu3O6.7
1007,Sm0.8Pr0.2Ba2Cu3O6.75
1008,Sm0.8Pr0.2Ba2Cu3O6.85
1009,Sm0.8Pr0.2Ba2Cu3O6.95
1010,Sm0.8Pr0.2Ba2Cu3O7
1011,Sm0.9Ca0.1Ba2Cu2.8Zn0.2O6.85
1012,Sm0.9Pr0.1Ba2Cu3O6.55
1013,Sm0.9Pr0.1Ba2Cu3O6.65
1014,Sm0.9Pr0.1Ba2Cu3O6.75
1015,Sm0.9Pr0.1Ba2Cu3O6.85
1016,Sm0.9Pr0.1Ba2Cu3O6.95
1017,Sm1.05Ba1.95Cu3O6.87
1018,Sm1.05Ba1.95Cu3O6.99
1019,Sm1.15Ba1.85Cu3O6.95
1020,Sm1.15Ba1.85Cu3O7
1021,Sm1.1Ba1.9Cu3O7
1022,Sm1.1Ba1.9Cu3O7.05
1023,Sm1.27Ba1.73Cu3O7.05
1024,Sm1.28Ba1.72Cu3O7.03
1025,Sm1.2Ba1.8Cu3O6.965
1026,Sm1.2Ba1.8Cu3O7.01
1027,Sm1.2Ba1.8Cu3O7.09
1028,Sm1.35Ba1.65Cu3O7
1029,Sm1.35Ba1.65Cu3O7.07
1030,Sm1.39Ba1.61Cu3O7.07
1031,Sm1Ba1.5Sr0.5Cu3O7
